Family,Old ID,New ID,Status,Old Description,New Description,Notes
CMT,KSI-CM-3,CMT-03,same,Implement automated testing and validation of changes prior to deployment,Implement automated testing and validation of changes prior to deployment,
CMT,KSI-CM-4,CMT-04,same,Have a documented change management procedure,Have a documented change management procedure,
CMT,KSI-CM-5,CMT-05,same,Evaluate the risk and potential impact of any change,Evaluate the risk and potential impact of any change,
PIY,KSI-PI-1,PIY-01,modified,Have an up-to-date asset inventory or code defining all deployed assets,"Have an up-to-date information resource inventory or code defining all deployed assets, software, and services","Changed to ""information resource inventory"", added software and services"
PIY,KSI-PI-2,PIY-02,modified,Have policies outlining their security objectives,Have policies outlining the security objectives of all information resources,"Specified scope to ""all information resources"""
PIY,KSI-PI-3,PIY-03,same,Maintain a vulnerability disclosure program,Maintain a vulnerability disclosure program,
PIY,KSI-PI-4,PIY-04,modified,Build security considerations into the Software Development Lifecycle (SDLC) and aligning with Secure By Design principles,Build security considerations into the Software Development Lifecycle and align with CISA Secure By Design principles,"Removed acronym, specified CISA, fixed grammar"
PIY,KSI-PI-5,PIY-05,modified,Document methods used to automatically evaluate implementations,Document methods used to evaluate information resource implementations,"Removed ""automatically"", added ""information resource"""
PIY,KSI-PI-6,PIY-06,modified,Have a dedicated staff and budget for security,"Have a dedicated staff and budget for security with executive support, commensurate with the size, complexity, scope, and risk of the service offering",Added executive support requirement and risk-based sizing
PIY,,PIY-07,added,,Document risk management decisions for software supply chain security,New supply chain risk documentation requirement
TPR,KSI-3IR-1,TPR-01,modified,Regularly confirm that services storing Federal information are all FedRAMP authorized and securely configured,Identify all third-party information resources,Changed from FedRAMP verification to general identification requirement
TPR,,TPR-02,added,,"Regularly confirm that services handling federal information or are likely to impact the confidentiality, integrity, or availability of federal information are FedRAMP authorized and securely configured","FedRAMP requirement moved here from old 3IR-1, expanded scope"
TPR,KSI-3IR-2,TPR-03,modified,Identify and prioritize potential supply chain risks,Identify and prioritize mitigation of potential supply chain risks,"Added ""mitigation of"""
TPR,KSI-3IR-3,TPR-04,modified,Obtain a Software Bill of Materials (SBOM) for third party commercial software components,"Monitor third party software information resources for upstream vulnerabilities, with contractual notification requirements or active monitoring services",Completely changed from SBOM requirement to vulnerability monitoring
TPR,KSI-3IR-4,,removed,Confirm that third party information resources have a Secure Software Development Attestation with CISA,,Removed SSDF attestation requirement
TPR,KSI-3IR-5,,removed,Implement zero trust design principles,,Moved to IAM-05
CED,KSI-CE-1,CED-01,same,Ensure all employees receive security awareness training,Ensure all employees receive security awareness training,
CED,KSI-CE-2,CED-02,modified,Require role-specific training for high risk roles,"Require role-specific training for high risk roles, including at least roles with privileged access",Added minimum requirement for privileged access roles
RPL,KSI-IR-1,RPL-01,modified,Define Recovery Time Objective (RTO) and Recovery Point Objective (RPO),Define Recovery Time Objectives (RTO) and Recovery Point Objectives (RPO),Pluralized Objectives
RPL,,RPL-02,added,,Develop and maintain a recovery plan that aligns with the defined recovery objectives,New recovery plan requirement
RPL,KSI-IR-2,RPL-03,modified,Perform system backups aligned with the RTO and RPO,Perform system backups aligned with recovery objectives,Simplified reference to objectives
RPL,KSI-IR-3,RPL-04,modified,Test the capability to recover from incidents and contingencies,Regularly test the capability to recover from incidents and contingencies,"Added ""regularly"""
INR,KSI-IR-4,INR-01,modified,Report incidents according to federal requirements,Report incidents according to FedRAMP requirements and cloud service provider policies,Specified FedRAMP and added CSP policies
INR,KSI-IR-5,INR-02,reordered,Maintain a log of incidents and periodically review past incidents for patterns or vulnerabilities,Maintain a log of incidents and periodically review past incidents for patterns or vulnerabilities,
INR,KSI-IR-6,INR-03,modified,Measure Mean Time To Detect (MTTD) and Mean Time To Resolution (MTTR) for incidents,Generate after action reports and regularly incorporate lessons learned into operations,Changed from metrics to after-action reports and lessons learned
