"Control Part","OSCAL_ID","ParamifiedProse"
"FSI-02","fsi-02_smt","FedRAMP MUST convey the criticality of the message in the subject line using one of the following designators if the message requires an elevated response:
• **Emergency:** There is a potential incident or crisis such that FedRAMP requires an extremely urgent response; emergency messages will contain aggressive timeframes for response and failure to meet these timeframes will result in corrective action.
• **Emergency Test:** FedRAMP requires an extremely urgent response to confirm the functionality and effectiveness of the FedRAMP Security Inbox; emergency test messages will contain aggressive timeframes for response and failure to meet these timeframes will result in corrective action.
• **Important:** There is an important issue that FedRAMP requires the cloud service provider to address; important messages will contain reasonable timeframes for response and failure to meet these timeframes may result in corrective action."
"FSI-03","fsi-03_smt","FedRAMP MUST send Emergency and Emergency Test designated messages from fedramp_security@gsa.gov OR fedramp_security@fedramp.gov."
"FSI-04","fsi-04_smt","FedRAMP MUST post a public notice at least 10 business days in advance of sending an Emergency Test message; such notices MUST include explanation of the likely expected actions and timeframes for the Emergency Test message."
"FSI-05","fsi-05_smt","FedRAMP MUST clearly specify the required actions in the body of messages that require an elevated response."
"FSI-06","fsi-06_smt","FedRAMP MUST clearly specify the expected timeframe for completing required actions in the body of messages that require an elevated response; timeframes for actions will vary depending on the situation but the default timeframes to provide an estimated resolution time for Emergency and Emergency Test designated messages will be as follows:
• **High Impact:** within 12 hours
• **Moderate Impact:** by 3:00 p.m. Eastern Time on the 2nd business day
• **Low Impact:** by 3:00 p.m. Eastern Time on the 3rd business day"
"FSI-07","fsi-07_smt","FedRAMP MUST clearly specify the corrective actions that will result from failure to complete the required actions in the body of messages that require an elevated response; such actions may vary from negative ratings in the FedRAMP Marketplace to suspension of FedRAMP authorization depending on the severity of the event."
"FSI-08","fsi-08_smt","FedRAMP MAY track and publicly share the time required by cloud service providers to take the actions specified in messages that require an elevated response."
"FSI-09","fsi-09_smt","Providers MUST establish and maintain an email address to receive messages from FedRAMP; this inbox is a FedRAMP Security Inbox (FSI)."
"FSI-10","fsi-10_smt","Providers MUST treat any email originating from an @fedramp.gov or @gsa.gov email address as if it was sent from FedRAMP by default; if such a message is confirmed to originate from someone other than FedRAMP then FedRAMP Security Inbox requirements no longer apply."
"FSI-11","fsi-11_smt","Providers MUST receive and respond to email messages from FedRAMP without disruption and without requiring additional actions from FedRAMP."
"FSI-12","fsi-12_smt","Providers MUST immediately notify FedRAMP of any changes in addressing for their FedRAMP Security Inbox by emailing info@fedramp.gov with the name and FedRAMP ID of the cloud service offering and the updated email address."
"FSI-13","fsi-13_smt","Providers SHOULD promptly and automatically acknowledge the receipt of messages received from FedRAMP in their FedRAMP Security Inbox."
"FSI-14","fsi-14_smt","Providers MUST complete the required actions in Emergency or Emergency Test designated messages sent by FedRAMP within the timeframe included in the message."
"FSI-15","fsi-15_smt","Providers MUST route Emergency designated messages sent by FedRAMP to a senior security official for their awareness."
"FSI-16","fsi-16_smt","Providers SHOULD complete the required actions in Important designated messages sent by FedRAMP within the timeframe specified in the message."
"ICP-01","icp-01_smt","Providers MUST responsibly report incidents to FedRAMP within 1 hour of identification by sending an email to fedramp_security@fedramp.gov or fedramp_security@gsa.gov."
"ICP-02","icp-02_smt","Providers MUST responsibly report incidents to all agency customers within 1 hour of identification using the incident communications points of contact provided by each agency customer."
"ICP-03","icp-03_smt","Providers MUST responsibly report incidents to CISA within 1 hour of identification if the incident is confirmed or suspected to be the result of an attack vector listed at https://www.cisa.gov/federal-incident-notification-guidelines#attack-vectors-taxonomy, following the CISA Federal Incident Notification Guidelines at https://www.cisa.gov/federal-incident-notification-guidelines, by using the CISA Incident Reporting System at https://myservices.cisa.gov/irf."
"ICP-04","icp-04_smt","Providers MUST update all necessary parties, including at least FedRAMP, CISA (if applicable), and all agency customers, at least once per calendar day until the incident is resolved and recovery is complete."
"ICP-05","icp-05_smt","Providers MUST make incident report information available in their secure FedRAMP repository (such as USDA Connect) or trust center."
"ICP-06","icp-06_smt","Providers MUST NOT irresponsibly disclose specific sensitive information about incidents that would likely increase the impact of the incident, but MUST disclose sufficient information for informed risk-based decision-making to all necessary parties."
"ICP-07","icp-07_smt","Providers MUST provide a final report once the incident is resolved and recovery is complete that describes at least:
• What occurred
• Root cause
• Response
• Lessons learned
• Changes needed"
"ICP-08","icp-08_smt","Providers SHOULD use automated mechanisms for reporting incidents and providing updates to all necessary parties (including CISA)."
"ICP-09","icp-09_smt","Providers SHOULD make incident report information available in consistent human-readable and machine-readable formats."
"AFR-01","afr-01_smt","Apply the FedRAMP Minimum Assessment Scope (MAS) to identify and document the scope of the cloud service offering to be assessed for FedRAMP authorization and persistently address all related requirements and recommendations."
"AFR-02","afr-02_smt","Set security goals for the cloud service offering based on FedRAMP 20x Phase Two Key Security Indicators (KSIs - you are here), develop automated validation of status and progress to the greatest extent possible, and persistently address all related requirements and recommendations."
"AFR-03","afr-03_smt","Determine how authorization data will be shared with all necessary parties in alignment with the FedRAMP Authorization Data Sharing (ADS) process and persistently address all related requirements and recommendations."
"AFR-04","afr-04_smt","Document the vulnerability detection and vulnerability response methodology used within the cloud service offering in alignment with the FedRAMP Vulnerability Detection and Response (VDR) process and persistently address all related requirements and recommendations."
"AFR-05","afr-05_smt","Determine how significant changes will be tracked and how all necessary parties will be notified in alignment with the FedRAMP Significant Change Notifications (SCN) process and persistently address all related requirements and recommendations."
"AFR-06","afr-06_smt","Maintain a plan and process for providing Ongoing Authorization Reports and Quarterly Reviews for all necessary parties in alignment with the FedRAMP Collaborative Continuous Monitoring (CCM) process and persistently address all related requirements and recommendations."
"AFR-07","afr-07_smt","Develop secure by default configurations and provide guidance for secure configuration of the cloud service offering to customers in alignment with the FedRAMP Recommended Secure Configuration (RSC) guidance process and persistently address all related requirements and recommendations."
"AFR-08","afr-08_smt","Operate a secure inbox to receive critical communication from FedRAMP and other government entities in alignment with FedRAMP Security Inbox (FSI) requirements and persistently address all related requirements and recommendations."
"AFR-09","afr-09_smt","Persistently validate, assess, and report on the effectiveness and status of security decisions and policies that are implemented within the cloud service offering in alignment with the FedRAMP 20x Persistent Validation and Assessment (PVA) process, and persistently address all related requirements and recommendations."
"AFR-10","afr-10_smt","Integrate FedRAMP's Incident Communications Procedures (ICP) into incident response procedures and persistently address all related requirements and recommendations."
"AFR-11","afr-11_smt","Ensure that cryptographic modules used to protect potentially sensitive federal customer data are selected and used in alignment with the FedRAMP 20x Using Cryptographic Modules (UCM) guidance and persistently address all related requirements and recommendations."
"CED-01","ced-01_smt","Persistently review the effectiveness of training given to all employees on policies, procedures, and security-related topics."
"CED-02","ced-02_smt","Persistently review the effectiveness of role-specific training given to employees in high risk roles, including at least roles with privileged access."
"CED-03","ced-03_smt","Persistently review the effectiveness of role-specific training given to development and engineering staff that covers best practices for delivering secure software."
"CED-04","ced-04_smt","Persistently review the effectiveness of role-specific training given to staff involved with incident response or disaster recovery."
"CMT-01","cmt-01_smt","Log and monitor modifications to the cloud service offering."
"CMT-02","cmt-02_smt","Execute changes to machine-based information resources through redeployment of version controlled immutable resources rather than direct modification wherever possible."
"CMT-03","cmt-03_smt","Automate persistent testing and validation of changes throughout deployment."
"CMT-04","cmt-04_smt","Persistently review the effectiveness of documented change management procedures."
"CNA-01","cna-01_smt","Persistently ensure all machine-based information resources are configured to limit inbound and outbound network traffic."
"CNA-02","cna-02_smt","Persistently ensure machine-based information resources have a minimal attack surface and that lateral movement is minimized if compromised."
"CNA-03","cna-03_smt","Use logical networking and related capabilities to enforce traffic flow controls."
"CNA-04","cna-04_smt","Use immutable infrastructure with strictly defined functionality and privileges by default."
"CNA-05","cna-05_smt","Persistently review the effectiveness of protection against denial of service attacks and other unwanted activity."
"CNA-06","cna-06_smt","Appropriately optimize machine-based information resources for high availability and rapid recovery."
"CNA-07","cna-07_smt","Persistently ensure cloud-native machine-based information resources are implemented based on the host provider's best practices and documented guidance."
"CNA-08","cna-08_smt","Use automated services to persistently assess the security posture of all machine-based information resources and automatically enforce their intended operational state."
"IAM-01","iam-01_smt","Enforce multi-factor authentication (MFA) using methods that are difficult to intercept or impersonate (phishing-resistant MFA) for all user authentication."
"IAM-02","iam-02_smt","Use secure passwordless methods for user authentication and authorization when feasible, otherwise enforce strong passwords with MFA."
"IAM-03","iam-03_smt","Enforce appropriately secure authentication methods for non-user accounts and services."
"IAM-04","iam-04_smt","Use a least-privileged, role and attribute-based, and just-in-time security authorization model for all user and non-user accounts and services."
"IAM-05","iam-05_smt","Persistently ensure that identity and access management employs measures to ensure each user or device can only access the resources they need."
"IAM-06","iam-06_smt","Automatically disable or otherwise secure accounts with privileged access in response to suspicious activity"
"IAM-07","iam-07_smt","Securely manage the lifecycle and privileges of all accounts, roles, and groups, using automation."
"INR-01","inr-01_smt","Persistently review the effectiveness of documented incident response procedures."
"INR-02","inr-02_smt","Persistently review past incidents for patterns or vulnerabilities."
"INR-03","inr-03_smt","Generate incident after action reports and persistently incorporate lessons learned."
"MLA-01","mla-01_smt","Operate a Security Information and Event Management (SIEM) or similar system(s) for centralized, tamper-resistent logging of events, activities, and changes."
"MLA-02","mla-02_smt","Persistently review and audit logs."
"MLA-05","mla-05_smt","Persistently evaluate and test the configuration of machine-based information resources, especially infrastructure as code."
"MLA-07","mla-07_smt","Maintain a list of information resources and event types that will be monitored, logged, and audited, then do so."
"MLA-08","mla-08_smt","Use a least-privileged, role and attribute-based, and just-in-time access authorization model for access to log data based on organizationally defined data sensitivity."
"PIY-01","piy-01_smt","Use authoritative sources to automatically generate real-time inventories of all information resources when needed."
"PIY-03","piy-03_smt","Persistently review the effectiveness of the provider's vulnerability disclosure program."
"PIY-04","piy-04_smt","Persistently review the effectiveness of building security and privacy considerations into the Software Development Lifecycle and aligning with CISA Secure By Design principles."
"PIY-06","piy-06_smt","Persistently review the effectiveness of the organization's investments in achieving security objectives."
"PIY-08","piy-08_smt","Persistently review executive support for achieving the organization's security objectives."
"RPL-01","rpl-01_smt","Persistently review desired Recovery Time Objectives (RTO) and Recovery Point Objectives (RPO)."
"RPL-02","rpl-02_smt","Persistently review the alignment of recovery plans with defined recovery objectives."
"RPL-03","rpl-03_smt","Persistently review the alignment of machine-based information resource backups with defined recovery objectives."
"RPL-04","rpl-04_smt","Persistently test the capability to recover from incidents and contingencies, including alignment with defined recovery objectives."
"SVC-01","svc-01_smt","Implement improvements based on persistent evaluation of information resources for opportunities to improve security."
"SVC-02","svc-02_smt","Encrypt or otherwise secure network traffic."
"SVC-04","svc-04_smt","Manage configuration of machine-based information resources using automation."
"SVC-05","svc-05_smt","Use cryptographic methods to validate the integrity of machine-based information resources."
"SVC-06","svc-06_smt","Automate management, protection, and regular rotation of digital keys, certificates, and other secrets."
"SVC-08","svc-08_smt","Persistently review plans, procedures, and the state of information resources after making changes to limit and remove unwanted residual elements that would likely negatively affect the confidentiality, integrity, or availability of federal customer data."
"SVC-09","svc-09_smt","Persistently validate the authenticity and integrity of communications between machine-based information resources using automation."
"SVC-10","svc-10_smt","Remove unwanted federal customer data promptly when requested by an agency in alignment with customer agreements, including from backups if appropriate; this typically applies when a customer spills information or when a customer seeks to remove information from a service due to a change in usage."
"TPR-03","tpr-03_smt","Persistently identify, review, and mitigate potential supply chain risks."
"TPR-04","tpr-04_smt","Automatically monitor third party software information resources for upstream vulnerabilities using mechanisms that may include contractual notification requirements or active monitoring services."
"MAS-01","mas-01_smt","Providers MUST identify a set of information resources to assess for FedRAMP authorization that includes all information resources that are likely to handle federal customer data or likely to impact the confidentiality, integrity, or availability of federal customer data handled by the cloud service offering."
"MAS-02","mas-02_smt","Providers MUST include the configuration and usage of third-party information resources, ONLY IF FRR-MAS-01 APPLIES."
"MAS-03","mas-03_smt","Providers MUST clearly identify and document the justification, mitigation measures, compensating controls, and potential impact to federal customer data from the configuration and usage of non-FedRAMP authorized third-party information resources, ONLY IF FRR-MAS-01 APPLIES."
"MAS-04","mas-04_smt","Providers MUST include metadata (including metadata about federal customer data), ONLY IF FRR-MAS-01 APPLIES."
"MAS-05","mas-05_smt","Providers MUST clearly identify, document, and explain information flows and impact levels for ALL information resources, ONLY IF FRR-MAS-01 APPLIES."
"MAS-AY-01","mas-AY-01_smt","Certain categories of cloud computing products and services are specified as entirely outside the scope of FedRAMP by the Director of the Office of Management and Budget. All such products and services are therefore not included in the cloud service offering for FedRAMP. For more, see https://fedramp.gov/scope."
"MAS-AY-02","mas-AY-02_smt","Software produced by cloud service providers that is delivered separately for installation on agency systems and not operated in a shared responsibility model (typically including agents, application clients, mobile applications, etc. that are not fully managed by the cloud service provider) is not a cloud computing product or service and is entirely outside the scope of FedRAMP under the FedRAMP Authorization Act. All such software is therefore not included in the cloud service offering for FedRAMP. For more, see fedramp.gov/scope."
"MAS-AY-03","mas-AY-03_smt","Information resources (including third-party information resources) that do not meet the conditions in FRR-MAS-01 are not included in the cloud service offering for FedRAMP (FRR-MAS-02)."
"MAS-AY-04","mas-AY-04_smt","Information resources (including third-party information resources) MAY vary by impact level as appropriate to the level of information handled or impacted by the information resource (FRR-MAS-05)."
"MAS-AY-05","mas-AY-05_smt","All parties SHOULD review best practices and technical assistance provided separately by FedRAMP for help with applying the Minimum Assessment Scope as needed."
"MAS-AY-06","mas-AY-06_smt","All aspects of the cloud service offering are determined and maintained by the cloud service provider in accordance with related FedRAMP authorization requirements and documented by the cloud service provider in their assessment and authorization materials."
"MAS-EX-01","mas-EX-01_smt","Providers MAY include documentation of information resources beyond the cloud service offering, or even entirely outside the scope of FedRAMP, in a FedRAMP assessment and authorization package supplement; these resources will not be FedRAMP authorized and MUST be clearly marked and separated from the cloud service offering."
"PVA-01","pva-01_smt","Providers MUST persistently perform validation of their Key Security Indicators following the processes and cycles documented for their cloud service offering per FRR-KSI-02; this process is called persistent validation and is part of vulnerability detection."
"PVA-02","pva-02_smt","Providers MUST treat failures detected during persistent validation and failures of the persistent validation process as vulnerabilities, then follow the requirements and recommendations in the FedRAMP Vulnerability Detection and Response process for such findings."
"PVA-03","pva-03_smt","Providers MUST include persistent validation activity in the reports on vulnerability detection and response activity required by the FedRAMP Vulnerability Detection and Response process."
"PVA-04","pva-04_smt","Providers MUST track significant changes that impact their Key Security Indicator goals and validation processes while following the requirements and recommendations in the FedRAMP Significant Change Notification process; if such significant changes are not properly tracked and supplied to all necessary assessors then a full Initial FedRAMP Assessment may be required in place of the expected Persistent FedRAMP Assessment."
"PVA-05","pva-05_smt","Providers MUST have the implementation of their goals and validation processes assessed by a FedRAMP-recognized independent assessor OR by FedRAMP directly AND MUST include the results of this assessment in their authorization data without modification."
"PVA-06","pva-06_smt","Providers MUST ensure a complete assessment of validation procedures (including underlying code, pipelines, configurations, automation tools, etc.) for the cloud service offering by all necessary assessors."
"PVA-07","pva-07_smt","Providers SHOULD provide technical explanations, demonstrations, and other relevant supporting information to all necessary assessors for the technical capabilities they employ to meet Key Security Indicators and to provide validation."
"PVA-08","pva-08_smt","Providers MAY ask for and accept advice from their assessor during assessment regarding techniques and procedures that will improve their security posture or the effectiveness, clarity, and accuracy of their validation and reporting procedures for Key Security Indicators, UNLESS doing so might compromise the objectivity and integrity of the assessment (see also FRR-PVA-09)."
"PVA-09","pva-09_smt","Assessors MAY share advice with providers they are assessing about techniques and procedures that will improve their security posture or the effectiveness, clarity, and accuracy of their validation and reporting procedures for Key Security Indicators, UNLESS doing so might compromise the objectivity and integrity of the assessment (see also FRR-PVA-08)."
"PVA-10","pva-10_smt","Assessors MUST evaluate the underlying processes (both machine-based and non-machine-based) that providers use to validate Key Security Indicators; this evaluation should include at least:
• The effectiveness, completeness, and integrity of the automated processes that perform validation of the cloud service offering's_ security posture.
• The effectiveness, completeness, and integrity of the human processes that perform validation of the cloud service offering's_ security posture
• The coverage of these processes within the cloud service offering, including if all of the consolidated information resources listed are being validated."
"PVA-11","pva-11_smt","Assessors MUST evaluate the implementation of processes derived from Key Security Indicators to determine whether or not the provider has accurately documented their process and goals."
"PVA-12","pva-12_smt","Assessors MUST evaluate whether or not the underlying processes are consistently creating the desired security outcome documented by the provider."
"PVA-13","pva-13_smt","Assessors MUST perform evaluation using a combination of quantitative and expert qualitative assessment as appropriate AND document which is applied to which aspect of the assessment."
"PVA-14","pva-14_smt","Assessors SHOULD engage provider experts in discussion to understand the decisions made by the provider and inform expert qualitative assessment, and SHOULD perform independent research to test such information as part of the expert qualitative assessment process."
"PVA-15","pva-15_smt","Assessors MUST NOT rely on screenshots, configuration dumps, or other static output as evidence EXCEPT when evaluating the accuracy and reliability of a process that generates such artifacts."
"PVA-16","pva-16_smt","Assessors MUST assess whether or not procedures are consistently followed, including the processes in place to ensure this occurs, without relying solely on the existence of a procedure document for assessing if appropriate processes and procedures are in place."
"PVA-17","pva-17_smt","Assessors MUST deliver a high-level summary of their assessment process and findings for each Key Security Indicator; this summary will be included in the authorization data for the cloud service offering."
"PVA-18","pva-18_smt","Assessors MUST NOT deliver an overall recommendation on whether or not the cloud service offering meets the requirements for FedRAMP authorization."
"PVA-TF-LO-01","pva-TF-LO-01_smt","Providers MUST complete the validation processes for Key Security Indicators of non-machine-based information resources at least once every 3 months."
"PVA-TF-LO-02","pva-TF-LO-02_smt","Providers MUST complete the validation processes for Key Security Indicators of machine-based information resources at least once every 7 days."
"PVA-TF-MO-01","pva-TF-MO-01_smt","Providers MUST complete the validation processes for Key Security Indicators of non-machine-based information resources at least once every 3 months."
"PVA-TF-LM-02","pva-TF-LM-02_smt","Providers MUST complete the validation processes for Key Security Indicators of machine-based information resources at least once every 3 days."
"RSC-01","rsc-01_smt","Providers MUST create and maintain guidance that includes instructions on how to securely access, configure, operate, and decommission top-level administrative accounts that control enterprise access to the entire cloud service offering."
"RSC-02","rsc-02_smt","Providers MUST create and maintain guidance that explains security-related settings that can be operated only by top-level administrative accounts and their security implications."
"RSC-03","rsc-03_smt","Providers SHOULD create and maintain guidance that explains security-related settings that can be operated only by privileged accounts and their security implications."
"RSC-04","rsc-04_smt","Providers SHOULD set all settings to their recommended secure defaults for top-level administrative accounts and privileged accounts when initially provisioned."
"RSC-05","rsc-05_smt","Providers SHOULD offer the capability to compare all current settings for top-level administrative accounts and privileged accounts to the recommended secure defaults."
"RSC-06","rsc-06_smt","Providers SHOULD offer the capability to export all security settings in a machine-readable format."
"RSC-07","rsc-07_smt","Providers SHOULD offer the capability to view and adjust security settings via an API or similar capability."
"RSC-08","rsc-08_smt","Providers SHOULD provide recommended secure configuration guidance in a machine-readable format that can be used by customers or third-party tools to compare against current settings."
"RSC-09","rsc-09_smt","Providers SHOULD make recommended secure configuration guidance available publicly."
"RSC-10","rsc-10_smt","Providers SHOULD provide versioning and a release history for recommended secure default settings for top-level administrative accounts and privileged accounts as they are adjusted over time."
"SCN-01","scn-01_smt","Providers MUST notify all necessary parties when Significant Change Notifications are required, including at least FedRAMP and all agency customers. Providers MAY share Significant Change Notifications publicly or with other parties."
"SCN-02","scn-02_smt","Providers MUST follow the procedures documented in their security plan to plan, evaluate, test, perform, assess, and document changes."
"SCN-03","scn-03_smt","Providers MUST evaluate and type label all significant changes, then follow FedRAMP requirements for the type."
"SCN-04","scn-04_smt","Providers MUST maintain auditable records of these activities and make them available to all necessary parties."
"SCN-05","scn-05_smt","Providers MUST keep historical Significant Change Notifications available to all necessary parties at least until the service completes its next annual assessment."
